Otra publicación divulgativa
"1.- Revista de divulgación : Diseño e implementación de una BCI Speller con P300 en estudiantes universitarios
España, Revista Iberoamericana de Neuropsicología ISSN: 2594-1178, 2024 vol:N/A fasc: N/A págs: 187 - 196 
Autores: FIDEL MAURICIO BONILLA CARRENO, JUAN JOSE PENA MARTIN, ARMANDO ALCIDES QUINONES QUINONES, OSCAR MAURICIO ARIAS BALLEN, ANDRES CAMILO PARRA ARIAS "
"2.- Revista de divulgación : Prototipo de brazo robótico activado con registros de electroencefalografía
Colombia, Revista Virtual Pro ISSN: 1900-6241, 2019 vol:212 fasc: N/A págs: 1 - 26 
Autores: FIDEL MAURICIO BONILLA CARRENO "
"3.- Periódico de noticias : Want to know if your partner is cheating? Listen to their voice: People who speak in a deeper pitch when talking to someone who is attractive are more likely to be unfaithful
Inglaterra, Mail Online ISSN: 0307-7578, 2018 vol:N/A fasc: págs: - 
Autores: VICTORIA R MILEVA, JUAN DAVID LEONGOMEZ PENA "
"4.- Revista de divulgación : Want to know if your partner's cheating on you? Just listen to their voice
Estados Unidos, The Conversation ISSN: 2201-5639, 2018 vol:N/A fasc: págs: - 
Autores: VICTORIA R MILEVA, JUAN DAVID LEONGOMEZ PENA "
"5.- Revista de divulgación : We change our voice when we talk to high-status people, shows new study
Estados Unidos, The Conversation ISSN: 2201-5639, 2017 vol:N/A fasc: págs: - 
Autores: VICTORIA R MILEVA, JUAN DAVID LEONGOMEZ PENA "
"6.- Revista de divulgación : Validez y confiabilidad del Alzheimer's Dis ease Assesment Scale Cognitive S ubscale (ADAS - Cog), en pacientes con demencia tipo Alzheimer leve y moderada y sujetos sanos residentes en Bogotá - Colombia
Argentina, Sociedad Latinoamericana De Neuropsicología ISSN: 1668-5415, 2016 vol:28 fasc: 1 págs: 28 - 38 
Autores: ANA MARIA SALAZAR MONTES, ANGELA JANETH PEREIRA MORALES "
"7.- Revista de divulgación : La evaluación neuropsicológica como predictor de las habilidades en matemáticas y lenguaje en población infantil
España, REVISTA DE NEUROLOGIA ISSN: 0210-0010, 2016 vol:62 fasc: págs: 46 - 46 
Autores: DANIELA FILIPA SILVA MARQUES, GONCALO JACINTO, RAMON CLADELLAS PROS "
"8.- Revista de divulgación : Influencia de la atención voluntaria en el éxito académico en jóvenes universitarios
España, REVISTA DE NEUROLOGIA ISSN: 0210-0010, 2016 vol:62 fasc: págs: 175 - 175 
Autores: DANIELA FILIPA SILVA MARQUES, GONCALO JACINTO, RAMON CLADELLAS PROS, DANIELA CORTES SAAVEDRA "
"9.- Revista de divulgación : EFECTO DE LOS FALLOS COGNOSCITIVOS Y LA DEPRESIÓN SOBRE EL FUNCIONAMIENTO GLOBAL DE PERSONAS MAYORES CON ALZHEIMER
Colombia, Neuropsicología, Neuropsiquiatría Y Neurociencias ISSN: 0124-1265, 2013 vol:13 fasc: págs: 63 - 76 
Autores: ANA MARIA SALAZAR MONTES "
