Capítulos de libro publicados
"1.- Documento de trabajo (Working Paper) : Cross-cultural relationships between music, emotion, and visual imagery: A comparative study of Iran, Canada, and Japan [Stage 1 Registered Report]
2023, Nro. Paginas: 45, Instituciones participantes: Keio University YAMAHA Corporation Universidad El Bosque, URL: https://osf.io/preprints/psyarxiv/26yg5, DOI:10.31234/osf.io/26yg5 
Autores: SHAFAGH HADAVI, JUNJI KURODA, TAIKI SHIMOZONO, JUAN DAVID LEONGOMEZ PENA, PATRICK E SAVAGE "
"2.- Documento de trabajo (Working Paper) : Meta-análisis de correlaciones y meta-regresión en R: Guía práctica
2023, Nro. Paginas: 57, Instituciones participantes: Universidad El Bosque, URL: https://osf.io/preprints/metaarxiv/yaxd4/, DOI:10.31222/osf.io/yaxd4 
Autores: JUAN DAVID LEONGOMEZ PENA "
"3.- Documento de trabajo (Working Paper) : Análisis de poder estadístico y cálculo de tamaño de muestra en R: Guía práctica
2020, Nro. Paginas: 35, Instituciones participantes: Universidad El Bosque, URL: http://doi.org/10.5281/zenodo.3988776, DOI:10.5281/zenodo.3988776 
Autores: JUAN DAVID LEONGOMEZ PENA "
"4.- Documento de trabajo (Working Paper) : Diseño y validación cuestionario de evaluación de asignaturas de programas de pregrado Universidad El Bosque
2018, Nro. Paginas: 20, Instituciones participantes: Universidad El Bosque , URL: , DOI: 
Autores: ALBA LUCIA MENESES BAEZ "
