Libros publicados
"1.- Libro resultado de investigación : Evolución, comportamiento estratégico humano y desajuste 
Colombia, 2026, ISBN: 978-958-739-569-3, Ed. Editorial Universidad El bosque 
Autores: OSCAR RAUL SANCHEZ RUBIO "
"2.- Libro resultado de investigación : Esquizofrenia: Más allá del etiquetamiento sintomático
Colombia, 2022, ISBN: 978-958-739-282-1, Ed. Editorial Universidad El bosque 
Autores: ANA MARIA SALAZAR MONTES, ANGELA JANETH PEREIRA MORALES "
"3.- Libro resultado de investigación : Evolución humana y vulnerabilidad: historia de vida y diferencias sexuales en la muerte
Colombia, 2022, ISBN: 978-958-739-298-2, Ed. Editorial Universidad El bosque 
Autores: OSCAR RAUL SANCHEZ RUBIO "
