Otra publicación divulgativa
"1.- Prólogo : Memorias / Book of Abstracts - CONGRESO INTERNACIONAL VIRTUAL DE NEUROCIENCIAS: CEREBRO Y COMPORTAMIENTO EN TIEMPOS DE COVID-19
Colombia, 2020, , , vol. ,págs: , - Juan David Leongómez; Milena Vásquez Amézquita; Andrés Castellanos; Karen Jácome, Ed. 
Autores: JUAN DAVID LEONGOMEZ PENA, MILENA VASQUEZ AMEZQUITA, ANDRES CASTELLANOS CHACON, KAREN CRISTINA JACOME DURAN "
"2.- Prólogo : Memorias / Book of Abstracts - CONGRESO INTERNACIONAL VIRTUAL DE NEUROCIENCIAS: CEREBRO Y COMPORTAMIENTO EN TIEMPOS DE COVID-19
Colombia, 2020, , , vol. ,págs: , - Juan David Leongómez, Milena Vásquez-Amézquita Andrés Castellanos-Chacón, Karen Jácome, Ed. 
Autores: JUAN DAVID LEONGOMEZ PENA, MILENA VASQUEZ AMEZQUITA, ANDRES CASTELLANOS CHACON, KAREN CRISTINA JACOME DURAN "
"3.- Otra : Informe de resultados de encuesta ""autodiagnóstico de competencias del analista de la conducta:Criterios para su formación""
Colombia, 2016, , , vol. ,págs: , - Colegio Colombiano de Psicólogos, Ed. 
Autores: TIBERIO PEREZ MANRIQUE "
"4.- Otra : Análisis de la Conducta #1
Colombia, 2016, , , vol. ,págs: , - Tiberio Perez Manrique, Ed. 
Autores: TIBERIO PEREZ MANRIQUE "
"5.- Otra : Cartilla-Guía para personas con demencia, sus familiares y cuidadores
Colombia, 2012, , , vol. ,págs: , - Dra. Olga Lucia Pedraza, Dr. ereck Sánchez, Lic. Yolanda Muñoz, Lic. Miguel Diaz, Dra Camila Montalvo, Dra. Liliana Rosas, Psi. Sandra Plata, Dra. Ana María Salazar, Psi. Paula Galvis, Psi. andres Chiquillo, Ed. 
Autores: ANA MARIA SALAZAR MONTES "
"6.- Otra : Cartilla-Guía con recomendaciones para los cuidados de los adultos mayores con deterioro cognitivo leve (DCL),
Colombia, 2012, , , vol. ,págs: , - Dra. Olga Lucia Pedraza, Dr. Erick Sánchez, Lic. Yolanda Muñoz, Lic. Miguel Diaz, Dra Camila Montalvo, Dra. Liliana Rosas, Psi. Sandra Plata, Dra. Ana María Salazar, Psi. Paula Galvis, Psi. Andres Chiquillo, Ed. 
Autores: ANA MARIA SALAZAR MONTES "
"7.- Otra : Cartilla-Guías para protección de funciones intelectuales en adultos mayores sanos
Colombia, 2012, , , vol. ,págs: , - Dra. Olga Lucia Pedraza, Dr. ereck Sánchez, Lic. Yolanda Muñoz, Lic. Miguel Diaz, Dra Camila Montalvo, Dra. Liliana Rosas, Psi. Sandra Plata, Dra. Ana María Salazar, Psi. Paula Galvis, Psi. andres Chiquillo, Ed. 
Autores: ANA MARIA SALAZAR MONTES "
