Capítulos de libro publicados
"1.- Otro capítulo de libro publicado : Análisis de contenido audiovisual en el ejercicio físico de las personas adultas mayores: Revisión sistemática
Colombia, 2023, Psicología de la actividad física y el deporte: formación y aplicación en Colombia., ISBN: 978-628-95324-2-5, Vol. , págs:143 - 168, Ed. 
Autores: ANA MARIA SALAZAR MONTES "
"2.- Otro capítulo de libro publicado : EFICACIA DE LOS PROGRAMAS COMPUTARIZADOS VISP, NBACK Y HIBIT-R: UN ENTRENAMIENTO COGNITIVO PARA PERSONAS CON DCL
Colombia, 2018, Cuadernos de semilleros de investigación, ISBN: 2500811026, Vol. , págs:79 - 90, Ed. 
Autores: ANA MARIA SALAZAR MONTES "
"3.- Capítulo de libro : Panorámica Actual sobre la Formación de los Psicólogos en Colombia
Colombia, 2012, Condiciones Sociodemográficas, Educativas, Laborales Y Salariales Del Psicólogo Colombiano, ISBN: 978-958-99153-6-3, Vol. , págs:67 - 86, Ed. 
Autores: PEDRO ORGANISTA DIAZ, ANGELICA GARZON UMERENKOVA "
