Otros Libros publicados
"1.- Libro pedagógico y/o de divulgación : Guía práctica de evaluación neuropsicológica del adulto
Colombia,2018, ISBN: 1657-3404 vol: págs: , Ed. Editorial Universidad El bosque 
Autores: ANA MARIA SALAZAR MONTES "
"2.- Otro libro publicado : Construcción de pruebas objetivas para la evaluación de conocimientos en el aula
Colombia,2001, ISBN: vol: págs: 224, Ed. Universidad El Bosque 
Autores: ADRIANA LEON, EDUARDO PONCE DE LEON, ELVERS MEDELLIN, PEDRO ORGANISTA DIAZ "
